timestamp_utc,calibration_batch_id,soil_source_id,sensor_id,depth_label,moisture_level_id,replicate_id,sensor_theta_m3_m3,wet_soil_mass_g,dry_soil_mass_g,sample_volume_cm3,water_density_g_cm3,reference_method,operator_id,notes
2026-03-04T03:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S10,10cm,L04,R03,0.308155,149.94,120.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-05T01:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S10,10cm,L05,R01,0.36401,155.928,120.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-05T02:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S10,10cm,L05,R02,0.36701,155.928,120.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-05T03:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S10,10cm,L05,R03,0.37001,155.928,120.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-01T01:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S25,25cm,L01,R01,0.115269,132.976,121.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-01T02:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S25,25cm,L01,R02,0.118269,132.976,121.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-01T03:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S25,25cm,L01,R03,0.121269,132.976,121.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-02T01:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S25,25cm,L02,R01,0.172962,138.964,121.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-02T02:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S25,25cm,L02,R02,0.175962,138.964,121.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-02T03:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S25,25cm,L02,R03,0.178962,138.964,121.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-03T01:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S25,25cm,L03,R01,0.230654,144.952,121.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-03T02:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S25,25cm,L03,R02,0.233654,144.952,121.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-03T03:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S25,25cm,L03,R03,0.236654,144.952,121.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-04T01:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S25,25cm,L04,R01,0.288346,150.94,121.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-04T02:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S25,25cm,L04,R02,0.291346,150.94,121.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-04T03:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S25,25cm,L04,R03,0.294346,150.94,121.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-05T01:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S25,25cm,L05,R01,0.346038,156.928,121.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-05T02:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S25,25cm,L05,R02,0.349038,156.928,121.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-05T03:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S25,25cm,L05,R03,0.352038,156.928,121.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
