scenario_id,split,scenario_seed,shallow_depth_mm,deep_depth_mm,irrigation_efficiency,bypass_fraction,shallow_et_fraction,exchange_gradient_mm_per_step,shallow_excess_drainage_mm_per_step,deep_drainage_mm_per_step,initial_theta_shallow,initial_theta_deep,solar_multiplier,vpd_additive_kpa,forecast_solar_bias_fraction,forecast_vpd_bias_kpa,weather_phase_index
TD014,development,37201014,106.4734469699,157.0815356033,0.9264396779,0.0622225479,0.7269654188,5.3108555835,157.4636610184,136.1550722176,0.2001783932,0.2145510236,1.1227885892,0.0897671601,-0.0079830740,-0.1628742229,5
TD015,development,37201015,116.7100245916,164.6039459666,0.7751427529,0.1166439919,0.7939845648,6.2770912732,175.5865367021,104.4360076781,0.2309202034,0.2214383397,1.1738062038,0.1239727425,0.0978370595,0.0778616624,4
TD016,development,37201016,113.8793045725,169.2805046041,0.9319701313,0.0541508107,0.6503789318,7.7954328201,217.2477438787,99.4726487766,0.2192414146,0.2374357384,0.8954334714,0.0421457679,0.1748389198,-0.0241397611,0
TD017,development,37201017,120.1382060845,199.3797074695,0.8663483248,0.1046316916,0.7448675094,8.5530136292,163.5525511574,135.3002020311,0.2059029183,0.2074562662,0.8282266210,0.0042052097,0.0675532673,-0.0387483495,5
TD018,development,37201018,119.9135730089,159.7289493363,0.8517315622,0.1186289403,0.6371835370,6.1814764946,131.9362094460,140.8278385966,0.2428920196,0.2282719592,0.8587125874,-0.1214995447,-0.0254079815,-0.0830831640,5
TD019,development,37201019,129.2706796269,154.4800990772,0.9303026438,0.1085667581,0.6891146061,5.4551296501,203.9575438565,101.6320987194,0.2156613642,0.2118342463,0.9174561792,-0.1391101988,-0.0597021264,0.1988256425,6
TD020,development,37201020,135.1205957443,155.7461749268,0.7880959029,0.0959779513,0.5978794755,5.3933442541,223.3556657538,116.5350274439,0.2071042358,0.2347554989,1.0361985100,0.1894482959,-0.1834624143,0.1506737905,7
TD021,development,37201021,104.5576030327,175.9052845046,0.8496534148,0.0751158870,0.7662130542,5.6821903155,151.7195643391,90.3793584298,0.2217765089,0.2292827568,0.9698215064,0.0290735680,-0.1198043929,0.0151746747,0
TD022,development,37201022,131.9618515061,166.1823805553,0.8628753812,0.0718614789,0.7640015086,5.9961396991,211.9569317072,112.1121741961,0.2083846107,0.2482863084,0.8376818421,0.1421857752,0.0482291001,0.1733035999,8
TD023,development,37201023,102.5756929949,180.3172704530,0.9070418924,0.0915956510,0.7791476175,7.1726874930,228.9445888559,142.7245771555,0.2211734032,0.2032166825,1.1406573406,-0.0267347169,0.1610549964,0.0533120757,1
TD024,development,37201024,123.7418579505,177.2205512114,0.8234955927,0.1151442867,0.6557909279,5.6263369516,132.2182686681,102.7958424065,0.2324755758,0.2171438695,0.8217023619,0.0082770146,-0.0373773237,-0.0077965296,0
TD025,development,37201025,130.4152795509,173.1136180388,0.8334760801,0.0425079044,0.6093709232,8.3884068593,221.7217596319,88.4644602728,0.2231540250,0.2381470571,1.0595237622,0.1666524386,-0.1291966582,-0.1411420456,8
TD026,development,37201026,134.4738396705,166.9921074035,0.8160616741,0.0654785198,0.6834890804,7.2039737473,137.8390918412,111.3713914390,0.1965789405,0.2459555620,1.0150599728,-0.0602273925,0.0141230683,-0.1721689202,7
TD027,development,37201027,124.7662271388,162.5823655742,0.7942921925,0.1103379664,0.7736028635,8.6861471482,208.6961599908,145.5694926801,0.2280341388,0.2231592987,0.9574120438,-0.0798906396,0.1414024337,-0.0141227231,4
TD028,development,37201028,103.5925979204,195.9512597407,0.7813988382,0.0770726557,0.7131583652,8.0927358673,214.5873959293,96.0641348805,0.2436704966,0.2443135277,0.9012393773,0.0550275194,0.1496562920,-0.1867758683,4
TD029,development,37201029,137.9032630603,197.1851131963,0.8730451650,0.0887682396,0.7349471299,6.7089684302,139.4489749592,92.2012358550,0.1954143397,0.2062580561,0.9880365839,0.1192493758,-0.0754526123,0.1345806174,0
TD030,development,37201030,112.5643063499,201.7504336952,0.9090061600,0.0840267102,0.6997726282,6.8865087963,194.7083147945,147.0229284111,0.2112609337,0.2203899024,0.9399546010,-0.0050965568,-0.0517266976,0.1300670872,7
TD031,development,37201031,126.4075333439,184.3625602863,0.7993072898,0.0987805929,0.6783403444,8.3081867498,190.7103684899,121.9295354013,0.2267107557,0.2333531205,1.1805096578,0.1996434269,0.1007391152,0.0735310737,3
TD032,development,37201032,109.0923481831,161.4582069648,0.8277266956,0.0572573012,0.7018388879,6.3748053772,141.4638259329,148.8565600361,0.2006580662,0.2487015522,0.8104547185,-0.0664501198,0.0423009454,0.1029003736,1
TD033,development,37201033,133.4376743170,189.8541223955,0.9425063942,0.1112193878,0.6030300936,6.6238432563,127.6237940672,123.4284435972,0.2376518329,0.2275427322,1.1100003411,0.0491017535,-0.1058963861,0.0997722950,0
TD034,development,37201034,111.8402964720,170.4255884637,0.8447227099,0.0806698012,0.6696819155,6.9774400756,184.1937659269,155.9629083668,0.2042920992,0.2414572053,1.0680080543,-0.1030183800,-0.1636666178,-0.1251409542,5
TD035,development,37201035,107.6262408582,186.8087776845,0.8101828249,0.0779140630,0.7388847575,8.6376644795,169.8105985937,86.4308349355,0.2284305313,0.2251286275,1.0055111275,-0.1148792890,-0.1929672514,0.0382374792,4
TD036,development,37201036,110.3774793786,200.1763706798,0.8888605922,0.0403369656,0.6294726774,6.4172147084,197.8789170752,125.4233019656,0.2242210580,0.2155218543,0.8678746609,0.1577436098,0.1830123700,0.1658386464,8
TE001,locked_evaluation,37901001,110.0765344668,198.3786593906,0.8434355863,0.1034526612,0.7379142007,6.0784385827,232.2345888383,147.2578588007,0.1973457397,0.2248105463,0.8206210090,-0.0264564012,-0.0445513889,-0.0247263036,4
TE002,locked_evaluation,37901002,114.6721461078,200.6594744798,0.9370471467,0.0923714166,0.8027281671,8.1593157827,217.5619362217,89.7939167658,0.2352388036,0.2387654706,0.9682523826,0.1001878554,-0.1384118610,0.0647918860,6
TE003,locked_evaluation,37901003,109.5483252822,157.2893889012,0.8126130902,0.0580177125,0.6250944268,5.3594113662,155.6498519198,122.6043068615,0.2364465534,0.2025973650,0.9626137873,0.1761918842,0.1800579389,0.1498664506,4
TE004,locked_evaluation,37901004,111.9742808705,185.7520029728,0.7759094130,0.0631760894,0.5990164691,8.3718352291,152.1862702500,97.8138646312,0.1986520042,0.2172971242,1.0172035435,0.0369817791,0.0612936382,0.0099906265,0
TE005,locked_evaluation,37901005,133.0984960299,168.3283126515,0.8185273846,0.0424773589,0.7937194693,7.3135021839,221.2286963223,95.1683725218,0.2298339446,0.2375856460,1.1719352078,0.1808523895,-0.0342474139,-0.0280256176,1
TE006,locked_evaluation,37901006,129.5044326024,171.4713276258,0.9156268610,0.1045719334,0.6041104920,6.2303720093,231.2232239910,131.5819012491,0.2346733830,0.2475635798,1.1445513878,0.1450587156,-0.1836651088,-0.1417550985,3
TE007,locked_evaluation,37901007,105.0125276517,202.4295348142,0.7778687091,0.0858106093,0.7763081315,7.3873434478,182.2186082466,144.9346270152,0.2008184270,0.2440730935,0.8407931986,0.0524809360,-0.1767485144,0.1385987671,7
TE008,locked_evaluation,37901008,103.4864381396,205.6174101471,0.9451190240,0.0558081670,0.7048840433,8.4707411366,128.7049900257,142.8951088453,0.2015402351,0.2220341620,0.8617118686,0.0716031132,-0.0115966631,0.1934152932,6
TE009,locked_evaluation,37901009,133.7785395671,167.8600865184,0.8726246734,0.0630775439,0.6117511324,5.4677764433,169.2323699365,125.6947641353,0.2236771320,0.2446438451,0.9436124396,0.0938686063,-0.1136998118,0.0187527783,8
TE010,locked_evaluation,37901010,117.9137492622,168.9009090234,0.9218157313,0.0648493416,0.7534359499,7.5171070319,126.4029002609,119.6947523382,0.2068611272,0.2338640489,0.8880184270,0.1639482876,0.0692330946,0.1085246688,8
TE011,locked_evaluation,37901011,119.3653571561,193.6975082107,0.7849489049,0.0817983854,0.7128672144,7.9036073472,212.7706777605,108.7510284572,0.2061639458,0.2096356270,1.0039480593,0.0800403721,0.0532464472,-0.1960154996,2
TE012,locked_evaluation,37901012,113.2561685386,170.6554585575,0.8031058401,0.0995351441,0.7840912817,7.7578197925,171.0736704821,135.7504817876,0.2181177795,0.2464974534,1.0398308477,0.1047489312,-0.0410412183,-0.1124683368,2
TE013,locked_evaluation,37901013,105.2231962956,177.6410408585,0.8550247440,0.0982403555,0.6874843437,5.8583907092,180.8281210906,95.8358633323,0.2303182830,0.2267194412,1.0614999485,-0.0972333297,-0.1902303958,0.0459904872,2
TE014,locked_evaluation,37901014,118.4795550638,199.7109532301,0.8858162448,0.0943179870,0.6103235039,7.0847581883,226.3383695395,109.3559133014,0.2436279302,0.2288753941,1.0730609772,-0.0430940666,0.0330758757,0.1998892334,8
TE015,locked_evaluation,37901015,131.4067250521,192.1583760128,0.9399845208,0.0437503737,0.6765578841,5.6295843844,147.2269153258,132.3289335138,0.2136780937,0.2393718517,0.9416466357,-0.1475647491,0.1844833761,0.1002572824,7
TE016,locked_evaluation,37901016,118.8499567507,182.5781159279,0.8969904167,0.1069964640,0.6991579882,6.2812992150,159.3031204635,150.0682166753,0.1950753861,0.2036156401,1.1859932978,-0.0504665956,-0.1926537708,-0.1281783944,3
TE017,locked_evaluation,37901017,120.2700461329,158.1629879175,0.7798969103,0.1128143168,0.7331305357,5.5389440610,138.8272877311,121.7434655514,0.2128672662,0.2394835129,0.9251515910,0.0851253745,-0.1043579706,0.0835618987,1
TE018,locked_evaluation,37901018,132.4320274338,181.4211798717,0.8204022622,0.0415677947,0.7625561494,5.7865253222,157.5988439608,154.2269041932,0.2113573272,0.2493273400,1.1923631521,0.1145632980,0.0978464379,0.0853978678,5
TE019,locked_evaluation,37901019,118.0230931785,203.3650484769,0.8491913398,0.0478234963,0.8010538860,5.5615748880,139.7353672531,111.0442628661,0.2027776867,0.2263255590,0.9056668931,-0.0177808667,0.1899103375,-0.1055767977,4
TE020,locked_evaluation,37901020,111.2917815959,187.5038130619,0.8575776210,0.0940428030,0.7455972463,5.9819565257,131.1310825149,154.4470262464,0.2088219894,0.2312546908,1.0054233608,0.0983075607,-0.1461949836,-0.1160984684,7
TE021,locked_evaluation,37901021,105.6856155501,201.2360954849,0.8022999337,0.0714717445,0.6937180772,7.2621963864,216.9057938122,96.6578252101,0.2251278898,0.2422216379,0.8358805844,-0.1248201808,-0.1257754333,0.0960339665,2
TE022,locked_evaluation,37901022,107.7858157589,206.8109282831,0.8706023069,0.0685680636,0.6902242006,8.6156528274,148.4846873238,133.9282142788,0.2102597006,0.2070955944,0.9884082722,0.1334362561,-0.1592019113,-0.0051167334,0
TE023,locked_evaluation,37901023,110.6588191004,204.7548745384,0.8409294038,0.1026599088,0.6618660737,6.4238110527,175.6794545392,118.5986082183,0.2050170805,0.2297358889,0.8037576998,-0.1054065470,0.1291050440,0.1903781566,3
TE024,locked_evaluation,37901024,136.3788990777,169.2752123734,0.8292351563,0.0693776986,0.7695440620,7.6586937791,135.5772764987,100.0710279777,0.2124404232,0.2281124297,1.0287156613,-0.0030098798,0.0059607716,-0.1068195254,1
TE025,locked_evaluation,37901025,135.4309273597,159.5549091065,0.9337333523,0.0831207059,0.6149920535,7.5528844985,165.8451542511,84.3575349789,0.2185224945,0.2469825652,0.9135281764,-0.1353427079,0.0934195572,0.1684736594,4
TE026,locked_evaluation,37901026,108.0405852603,196.3113308333,0.8478210176,0.0877778184,0.6274858868,5.4944770737,161.2683165323,148.8677440212,0.2403074050,0.2054349085,0.8730514488,-0.1416928950,-0.1511008892,-0.1593245264,6
TE027,locked_evaluation,37901027,123.2113101531,155.0730122037,0.7952553407,0.0799450766,0.7442922431,8.0711028111,185.1135053939,123.5228681946,0.2289398200,0.2291750529,1.0925122284,0.0208874365,-0.0633656855,0.1746072515,3
TE028,locked_evaluation,37901028,104.5406899994,199.9739913674,0.7913871779,0.0889468376,0.6212555877,6.3217047494,215.3599631614,125.4001454634,0.2099302608,0.2478704945,1.0542283885,0.0167606405,0.0573128831,0.1340949282,5
TE029,locked_evaluation,37901029,122.1207809861,188.7652173604,0.9269916194,0.0620138297,0.7864194667,8.5212790636,204.8597334556,151.0906543285,0.2260508189,0.2108012415,0.8902435753,0.0786732429,0.0137249757,0.1617896865,3
TE030,locked_evaluation,37901030,129.6039848231,196.1483825001,0.9409518533,0.0402142743,0.7579537615,7.0243108353,207.0747811434,103.6315568828,0.2379937349,0.2400901058,0.8804088487,-0.1310507551,0.0027491044,-0.1770005670,1
TE031,locked_evaluation,37901031,127.6907607365,162.2032449951,0.8944984292,0.0913635756,0.6400851899,7.5984700091,223.2373000569,151.5811373208,0.2003320022,0.2029671680,1.1094552175,0.1113565618,-0.1814432970,-0.0947639280,8
TE032,locked_evaluation,37901032,109.6811465013,191.2235271122,0.8109240340,0.0970983471,0.6315520186,6.5745230835,172.1741985814,136.8153047168,0.2335953255,0.2225262017,0.9913734453,0.0100159733,0.1621551798,0.1430111604,3
TE033,locked_evaluation,37901033,119.6070844731,183.9410945196,0.8805855914,0.0458326110,0.6601159657,8.2077372922,174.0027650905,127.8919766688,0.1969020246,0.2139125733,1.0939430033,-0.0675072876,-0.0289103030,0.1030724412,8
TE034,locked_evaluation,37901034,106.0328861469,195.0032185392,0.9081004298,0.0519508776,0.6002974090,6.5143013778,190.5071300048,155.2221820975,0.2110216705,0.2215455577,0.8776515403,-0.0849714874,0.1362910030,0.1801050777,2
TE035,locked_evaluation,37901035,131.8860968671,184.6052462729,0.8255022572,0.0964372799,0.7922918634,8.1723474933,173.3017518832,128.7662439333,0.2428940473,0.2144667403,1.1964746873,-0.1170801897,-0.1611106580,-0.1304603956,5
TE036,locked_evaluation,37901036,128.0218967066,201.8481131962,0.8374619445,0.0759260346,0.6171314052,6.9163727470,129.6708988698,124.4976849409,0.2144722255,0.2319031315,0.8301634746,0.1547546440,-0.0704401303,-0.1942185082,8
TE037,locked_evaluation,37901037,117.2978517094,183.3121580480,0.8257462732,0.0932326418,0.6823657261,7.1640694033,168.5212455912,143.8962263219,0.2316802427,0.2340842474,0.9175932969,-0.0754249291,-0.0894313976,0.1858852112,3
TE038,locked_evaluation,37901038,109.1364981736,186.6050042248,0.8617033776,0.0837074308,0.6385052174,6.9581673034,227.8044033895,117.4182865454,0.2410271507,0.2158066738,0.8503348673,0.1683285310,-0.1705710549,0.1566131024,7
TE039,locked_evaluation,37901039,133.2722922064,189.8028334140,0.7766180463,0.0534796788,0.6289015478,5.6855914370,229.2047696562,144.3322260294,0.2155921504,0.2062150414,0.8665598192,0.0000662544,-0.0596754063,-0.0867306464,4
TE040,locked_evaluation,37901040,134.0530573947,190.4882960376,0.9317793447,0.0449836376,0.7671889752,8.4822830992,233.0629310619,139.5423897952,0.2384937214,0.2322347579,0.8177401632,-0.0558030638,0.0412792972,0.0166449992,2
TE041,locked_evaluation,37901041,129.0502435080,176.8797914167,0.8003988098,0.1108560567,0.6056151776,7.4349002864,140.5954792619,85.8789563851,0.2239930313,0.2240665391,1.1877336963,-0.0142117472,0.1727243190,-0.0017853932,6
TE042,locked_evaluation,37901042,114.2195505049,172.7424398048,0.7826008214,0.0742430954,0.7804394346,7.8129121221,228.6346182753,92.7119238466,0.2166965473,0.2117853893,1.1378491440,-0.0588204856,-0.1165652379,0.0707208662,5
TE043,locked_evaluation,37901043,122.7604153391,203.4557992103,0.9133669461,0.0528222082,0.6907355713,8.6490023182,188.3192433520,111.5319157344,0.2421955699,0.2018932422,1.1607783605,-0.0689322407,-0.1973205525,-0.0403329212,8
TE044,locked_evaluation,37901044,115.7671955231,160.4798069056,0.8621227059,0.1130674107,0.6647770538,6.7729455605,177.2087262944,91.1627563917,0.2082699388,0.2499891333,0.8957314768,-0.0385171041,0.1651499286,0.1295163424,6
TE045,locked_evaluation,37901045,108.5823448200,192.9166670145,0.7893916740,0.0682950656,0.7994031354,6.3938722568,200.0102590753,145.6336727373,0.2089579914,0.2047329057,0.8095177362,-0.1140140282,-0.0762693094,-0.1448000399,2
TE046,locked_evaluation,37901046,116.7079703643,181.8510838543,0.9032877276,0.0901726171,0.7720151447,6.1923424900,133.1000547490,121.0123229548,0.2391111667,0.2381328170,1.0406579309,0.1347352585,-0.1081065926,0.1711618249,4
TE047,locked_evaluation,37901047,102.7909047356,191.9989483735,0.7942731666,0.1160560694,0.7009906365,6.8721242820,219.4354590789,102.9560409655,0.2325705275,0.2077235304,0.9750536461,0.0290925463,0.1569740618,0.1275549831,5
TE048,locked_evaluation,37901048,124.7048020204,188.0096310071,0.9433130698,0.0956881958,0.6441401233,8.7198732060,195.5957929023,152.7612588129,0.2211812423,0.2302754628,1.1173760514,0.1254196357,0.1214712234,-0.1672125073,6
TE049,locked_evaluation,37901049,126.5535005143,176.1237787803,0.9189131684,0.0491137406,0.7743541317,5.9130481598,136.8553797516,148.2111302827,0.2049864368,0.2422562667,0.9091242384,0.0573915734,-0.1220883732,0.1195513228,2
TE050,locked_evaluation,37901050,121.0531727795,153.2625356481,0.8074843315,0.0667046253,0.7976818868,6.4630593465,167.5203539686,146.5219735410,0.2229018193,0.2184337855,1.1812858910,0.1791245529,-0.1001900719,0.0276522643,8
TE051,locked_evaluation,37901051,124.2823112958,165.2029569015,0.8739834664,0.0815096120,0.7835605798,6.6258040661,179.0814156504,115.6424870847,0.2316004455,0.2434295580,1.0682278565,-0.1296628092,-0.0872713066,-0.1498025450,7
TE052,locked_evaluation,37901052,125.5226038626,164.6858933844,0.8147840669,0.0565582499,0.6779633126,7.0615678581,191.7343145965,134.8459045587,0.1995912631,0.2194791415,0.8982233234,0.0020415832,0.1445687475,-0.1799279713,6
TE053,locked_evaluation,37901053,103.1698662270,193.9308572416,0.9019597796,0.0775057760,0.7786779632,8.5912237547,178.6859969578,129.8603755336,0.2029436746,0.2039395268,0.8312644695,-0.0885112726,0.0650368668,0.0440076553,6
TE054,locked_evaluation,37901054,136.5391606147,194.7910520412,0.8839792259,0.1178185505,0.7075042029,6.3583933027,201.3143461287,94.2261604610,0.2220212320,0.2250917425,1.0233141199,-0.0802286548,0.0759428508,0.0524665240,2
TE055,locked_evaluation,37901055,120.4930436664,166.2689551879,0.8898357165,0.1012361326,0.6537582127,6.7293553447,225.1644921795,101.9570124706,0.2140769947,0.2101852688,1.1530553898,-0.0998358626,-0.1686602524,0.1553132786,3
TE056,locked_evaluation,37901056,130.4732272518,197.4038977180,0.8356529887,0.1172556142,0.6678669371,8.4173095149,213.9686467644,93.0197453364,0.2195893308,0.2092801370,1.1300631480,0.0071519756,0.0853069552,-0.0784425820,1
TE057,locked_evaluation,37901057,110.9341767331,175.4901843306,0.8886175300,0.0508173886,0.7098743799,6.0484284547,142.2093490152,120.3256161317,0.2018137089,0.2014022808,0.9200810006,0.1979825089,-0.0369455295,-0.0520329854,8
TE058,locked_evaluation,37901058,107.2809207652,206.1072230396,0.8405119008,0.0997440459,0.7480751269,5.4028434128,188.7565997429,141.2911436191,0.2329688216,0.2129726201,0.9569577285,-0.0615538961,-0.0042555065,0.1227170167,5
TE059,locked_evaluation,37901059,116.8378419032,179.0326211674,0.9102238147,0.1020021539,0.6500604841,8.3365240467,211.2589821489,142.0343351571,0.1979659153,0.2003960853,0.8243691978,0.1218767035,0.0826905581,-0.1551287963,4
TE060,locked_evaluation,37901060,106.9318564761,163.2776533989,0.8313223731,0.0569345999,0.7228068491,6.7148633069,186.5661991912,112.3537366092,0.2164239583,0.2331734285,1.1023848551,0.0480452778,-0.0801772533,0.0376377056,4
TE061,locked_evaluation,37901061,121.4432808795,156.9648192977,0.8759649436,0.1182996566,0.6086979823,6.6713621550,127.9591263210,86.6051001120,0.2376782808,0.2079951626,1.1148771450,0.1575861224,-0.0493091695,-0.1862026772,8
TE062,locked_evaluation,37901062,136.9882022963,166.0299962940,0.8534283888,0.0868094125,0.7497112842,7.4054328943,162.1721596849,91.8662890638,0.2121956608,0.2485391592,1.0980254000,0.1697345616,0.1533654949,-0.1624069386,4
TE063,locked_evaluation,37901063,134.7433033644,174.1560055313,0.8456744526,0.1062555391,0.7258562405,7.8578704069,193.7477786177,100.8767873732,0.2151208274,0.2413788742,1.0794175212,0.0873295860,-0.0045846845,0.1145504898,4
TE064,locked_evaluation,37901064,137.9065865238,158.9019525789,0.8582704624,0.0755157026,0.7900404230,8.3198125544,153.8419926561,89.5313691335,0.2035662597,0.2406082145,1.0185778362,-0.1089524982,0.0718861633,-0.0583253846,0
TE065,locked_evaluation,37901065,121.8155678728,167.2276325657,0.8099833685,0.0605169711,0.6473998673,5.3271181836,160.5644785201,97.2941724025,0.1990473497,0.2451658162,0.9780652040,-0.0093101487,-0.1300267910,-0.0667570657,2
TE066,locked_evaluation,37901066,130.8899557203,189.3735280559,0.9354485089,0.0592405912,0.6527081815,7.1535439933,219.8924707060,114.1346020279,0.2223332874,0.2123098790,1.1768613474,0.1875455912,0.0391025184,0.0752975477,8
TE067,locked_evaluation,37901067,132.2087324344,197.3261214008,0.8789916093,0.1093090500,0.7355540732,7.2241892868,146.2937562594,138.0652695337,0.2368785315,0.2210637215,1.1228138115,0.1465896085,0.1770888243,-0.0570818902,6
TE068,locked_evaluation,37901068,123.0984644488,177.1570344866,0.7855388314,0.0484633735,0.6854271724,6.9808401218,203.4392832554,85.5712898592,0.2060797405,0.2455619291,1.0458385691,-0.0127066378,0.1183860692,0.0021160365,1
TE069,locked_evaluation,37901069,113.6573939728,173.2397115946,0.9261819740,0.1147449871,0.7041926978,6.5526278369,197.9634653941,87.6043698381,0.1957298032,0.2257067439,1.1673010503,-0.0336232367,0.1026755873,-0.0657477608,8
TE070,locked_evaluation,37901070,123.9241558720,154.0602309274,0.8649163767,0.0808491155,0.7322907414,7.2942447983,153.3811895444,114.5175100164,0.2039021272,0.2358236687,1.0836678652,0.1940409851,0.1406958976,-0.1353712753,4
TE071,locked_evaluation,37901071,102.1510165854,174.6141873406,0.8176697857,0.0736652813,0.6329729998,8.0460351385,149.6774641372,126.5538399599,0.2307243708,0.2229532478,0.8048845016,-0.1189024562,0.1096615877,-0.0487863387,5
TE072,locked_evaluation,37901072,126.3126608333,186.5272682151,0.7983556815,0.1083101171,0.6697442188,5.7175999452,135.8795684694,138.7998397519,0.2209735330,0.2237293563,0.9996717695,-0.0785144346,0.0212986934,0.0581191419,4
TE073,locked_evaluation,37901073,103.6894057352,154.2378333594,0.8662206922,0.0790791099,0.5950056912,7.9898529371,202.4009823597,104.9770871335,0.2073847855,0.2354732050,1.1286691093,0.0728862413,-0.0744828281,0.0248468028,6
TE074,locked_evaluation,37901074,104.1455460467,163.1405461382,0.9235409190,0.0664477336,0.7546790604,5.2792104290,133.8828894220,106.6177235692,0.2411712712,0.2114215773,1.0105276876,0.0658964947,0.0126357638,0.0913137969,5
TE075,locked_evaluation,37901075,128.6553200521,204.4350049768,0.8995627352,0.0846386214,0.6733116033,5.6425990873,198.8415533896,116.2614183384,0.2355715559,0.2346905329,1.0523085793,-0.0484401664,0.0310995255,0.0075170122,2
TE076,locked_evaluation,37901076,106.6147559399,161.2487634913,0.9062456818,0.0710479185,0.6662589757,8.1040871241,156.3564015068,136.5935902859,0.2269860893,0.2136406559,0.9697094700,0.0411505069,-0.0188406983,-0.1243569951,3
TE077,locked_evaluation,37901077,125.8648768243,179.7745724234,0.8908736509,0.0468647265,0.7398286386,7.9706638847,183.7758127262,113.4961988339,0.2205161057,0.2274091887,0.9499873036,0.0233818295,-0.0234966530,-0.1011844433,3
TE078,locked_evaluation,37901078,112.3908644739,155.6036829921,0.8933577475,0.0505353363,0.7248780923,6.1135914577,164.1424715302,88.5512660519,0.2261523773,0.2165613733,1.1369075888,0.0603877360,-0.0536936951,0.0324962631,7
TE079,locked_evaluation,37901079,115.3176876637,180.3037596788,0.9207874488,0.0431452659,0.6565255546,8.2526794125,209.0585148981,98.6888296185,0.2397530089,0.2010461150,0.9305033526,-0.0312602858,-0.1538400403,-0.0210553103,5
TE080,locked_evaluation,37901080,115.1541560504,198.7789842325,0.8321641114,0.1143264458,0.6432776290,8.7055248415,193.0411510777,118.0266501760,0.2247465434,0.2167028601,1.1503716818,-0.0229773835,0.0473282209,0.0785663961,7
TE081,locked_evaluation,37901081,135.9967212797,171.7248631719,0.8343142047,0.0768161317,0.6206437731,5.7944974453,222.1408538771,99.6432234256,0.2288593097,0.2372070927,0.8689566051,0.1076591271,-0.0145406299,-0.1722404085,8
