anomaly_scenario_id,base_scenario_id,split,anomaly_type,anomaly_seed,start_step,end_step
AV2D0056,V2D0056,development,solver_failure,62011763,120,132
AV2D0057,V2D0057,development,forecast_underprediction,62011764,120,168
AV2D0058,V2D0058,development,feedback_conflict,62011765,120,132
AV2D0059,V2D0059,development,forecast_underprediction,62011766,120,168
AV2D0060,V2D0060,development,sensor_bias,62011767,120,168
AV2D0061,V2D0061,development,sensor_drift,62011768,120,168
AV2D0062,V2D0062,development,root_depth_shift,62011769,120,168
AV2D0063,V2D0063,development,sensor_bias,62011770,120,168
AV2D0064,V2D0064,development,valve_stuck,62011771,120,168
AV2D0065,V2D0065,development,sensor_drift,62011772,120,168
AV2D0066,V2D0066,development,flow_decay,62011773,120,168
AV2D0067,V2D0067,development,sensor_spike,62011774,120,123
AV2D0068,V2D0068,development,sensor_drift,62011775,120,168
AV2D0069,V2D0069,development,normal,62011776,120,168
AV2D0070,V2D0070,development,sensor_drift,62011777,120,168
AV2D0071,V2D0071,development,normal,62011778,120,168
AV2D0072,V2D0072,development,flow_decay,62011779,120,168
AV2D0073,V2D0073,development,sensor_missing,62011780,120,144
AV2D0074,V2D0074,development,sensor_drift,62011781,120,168
AV2D0075,V2D0075,development,sensor_missing,62011782,120,144
AV2D0076,V2D0076,development,feedback_conflict,62011783,120,132
AV2D0077,V2D0077,development,valve_stuck,62011784,120,168
AV2D0078,V2D0078,development,root_depth_shift,62011785,120,168
AV2D0079,V2D0079,development,drainage_shift,62011786,120,168
AV2D0080,V2D0080,development,solver_failure,62011787,120,132
AV2D0081,V2D0081,development,feedback_conflict,62011788,120,132
AV2D0082,V2D0082,development,feedback_conflict,62011789,120,132
AV2D0083,V2D0083,development,sensor_drift,62011790,120,168
AV2D0084,V2D0084,development,valve_stuck,62011791,120,168
AV2D0085,V2D0085,development,drainage_shift,62011792,120,168
AV2D0086,V2D0086,development,sensor_missing,62011793,120,144
AV2D0087,V2D0087,development,sensor_bias,62011794,120,168
AV2D0088,V2D0088,development,normal,62011795,120,168
AV2D0089,V2D0089,development,sensor_spike,62011796,120,123
AV2D0090,V2D0090,development,normal,62011797,120,168
AV2D0091,V2D0091,development,valve_stuck,62011798,120,168
AV2D0092,V2D0092,development,feedback_conflict,62011799,120,132
AV2D0093,V2D0093,development,drainage_shift,62011800,120,168
AV2D0094,V2D0094,development,forecast_underprediction,62011801,120,168
AV2D0095,V2D0095,development,forecast_underprediction,62011802,120,168
AV2D0096,V2D0096,development,flow_decay,62011803,120,168
AV2E0001,V2E0001,locked_evaluation,feedback_conflict,92021708,120,132
AV2E0002,V2E0002,locked_evaluation,solver_failure,92021709,120,132
AV2E0003,V2E0003,locked_evaluation,sensor_drift,92021710,120,168
AV2E0004,V2E0004,locked_evaluation,drainage_shift,92021711,120,168
AV2E0005,V2E0005,locked_evaluation,normal,92021712,120,168
AV2E0006,V2E0006,locked_evaluation,sensor_missing,92021713,120,144
AV2E0007,V2E0007,locked_evaluation,sensor_missing,92021714,120,144
AV2E0008,V2E0008,locked_evaluation,sensor_spike,92021715,120,123
AV2E0009,V2E0009,locked_evaluation,solver_failure,92021716,120,132
AV2E0010,V2E0010,locked_evaluation,feedback_conflict,92021717,120,132
AV2E0011,V2E0011,locked_evaluation,root_depth_shift,92021718,120,168
AV2E0012,V2E0012,locked_evaluation,flow_decay,92021719,120,168
AV2E0013,V2E0013,locked_evaluation,sensor_spike,92021720,120,123
AV2E0014,V2E0014,locked_evaluation,flow_decay,92021721,120,168
AV2E0015,V2E0015,locked_evaluation,feedback_conflict,92021722,120,132
AV2E0016,V2E0016,locked_evaluation,root_depth_shift,92021723,120,168
AV2E0017,V2E0017,locked_evaluation,solver_failure,92021724,120,132
AV2E0018,V2E0018,locked_evaluation,valve_stuck,92021725,120,168
AV2E0019,V2E0019,locked_evaluation,forecast_underprediction,92021726,120,168
AV2E0020,V2E0020,locked_evaluation,flow_decay,92021727,120,168
AV2E0021,V2E0021,locked_evaluation,flow_decay,92021728,120,168
AV2E0022,V2E0022,locked_evaluation,root_depth_shift,92021729,120,168
AV2E0023,V2E0023,locked_evaluation,sensor_spike,92021730,120,123
AV2E0024,V2E0024,locked_evaluation,drainage_shift,92021731,120,168
AV2E0025,V2E0025,locked_evaluation,sensor_bias,92021732,120,168
AV2E0026,V2E0026,locked_evaluation,normal,92021733,120,168
AV2E0027,V2E0027,locked_evaluation,forecast_underprediction,92021734,120,168
AV2E0028,V2E0028,locked_evaluation,sensor_missing,92021735,120,144
AV2E0029,V2E0029,locked_evaluation,sensor_spike,92021736,120,123
AV2E0030,V2E0030,locked_evaluation,drainage_shift,92021737,120,168
AV2E0031,V2E0031,locked_evaluation,sensor_bias,92021738,120,168
AV2E0032,V2E0032,locked_evaluation,valve_stuck,92021739,120,168
AV2E0033,V2E0033,locked_evaluation,root_depth_shift,92021740,120,168
AV2E0034,V2E0034,locked_evaluation,root_depth_shift,92021741,120,168
AV2E0035,V2E0035,locked_evaluation,valve_stuck,92021742,120,168
AV2E0036,V2E0036,locked_evaluation,normal,92021743,120,168
AV2E0037,V2E0037,locked_evaluation,forecast_underprediction,92021744,120,168
AV2E0038,V2E0038,locked_evaluation,valve_stuck,92021745,120,168
AV2E0039,V2E0039,locked_evaluation,flow_decay,92021746,120,168
AV2E0040,V2E0040,locked_evaluation,feedback_conflict,92021747,120,132
AV2E0041,V2E0041,locked_evaluation,flow_decay,92021748,120,168
AV2E0042,V2E0042,locked_evaluation,flow_decay,92021749,120,168
AV2E0043,V2E0043,locked_evaluation,sensor_bias,92021750,120,168
AV2E0044,V2E0044,locked_evaluation,flow_decay,92021751,120,168
AV2E0045,V2E0045,locked_evaluation,valve_stuck,92021752,120,168
AV2E0046,V2E0046,locked_evaluation,sensor_drift,92021753,120,168
AV2E0047,V2E0047,locked_evaluation,feedback_conflict,92021754,120,132
AV2E0048,V2E0048,locked_evaluation,sensor_missing,92021755,120,144
AV2E0049,V2E0049,locked_evaluation,feedback_conflict,92021756,120,132
AV2E0050,V2E0050,locked_evaluation,drainage_shift,92021757,120,168
AV2E0051,V2E0051,locked_evaluation,sensor_drift,92021758,120,168
AV2E0052,V2E0052,locked_evaluation,feedback_conflict,92021759,120,132
AV2E0053,V2E0053,locked_evaluation,sensor_spike,92021760,120,123
AV2E0054,V2E0054,locked_evaluation,forecast_underprediction,92021761,120,168
AV2E0055,V2E0055,locked_evaluation,sensor_drift,92021762,120,168
AV2E0056,V2E0056,locked_evaluation,sensor_bias,92021763,120,168
AV2E0057,V2E0057,locked_evaluation,normal,92021764,120,168
AV2E0058,V2E0058,locked_evaluation,solver_failure,92021765,120,132
AV2E0059,V2E0059,locked_evaluation,sensor_missing,92021766,120,144
AV2E0060,V2E0060,locked_evaluation,valve_stuck,92021767,120,168
AV2E0061,V2E0061,locked_evaluation,normal,92021768,120,168
AV2E0062,V2E0062,locked_evaluation,sensor_drift,92021769,120,168
AV2E0063,V2E0063,locked_evaluation,valve_stuck,92021770,120,168
AV2E0064,V2E0064,locked_evaluation,root_depth_shift,92021771,120,168
AV2E0065,V2E0065,locked_evaluation,sensor_bias,92021772,120,168
AV2E0066,V2E0066,locked_evaluation,sensor_spike,92021773,120,123
AV2E0067,V2E0067,locked_evaluation,sensor_bias,92021774,120,168
AV2E0068,V2E0068,locked_evaluation,sensor_spike,92021775,120,123
AV2E0069,V2E0069,locked_evaluation,sensor_missing,92021776,120,144
AV2E0070,V2E0070,locked_evaluation,sensor_missing,92021777,120,144
AV2E0071,V2E0071,locked_evaluation,sensor_spike,92021778,120,123
AV2E0072,V2E0072,locked_evaluation,root_depth_shift,92021779,120,168
AV2E0073,V2E0073,locked_evaluation,drainage_shift,92021780,120,168
AV2E0074,V2E0074,locked_evaluation,sensor_drift,92021781,120,168
AV2E0075,V2E0075,locked_evaluation,flow_decay,92021782,120,168
AV2E0076,V2E0076,locked_evaluation,drainage_shift,92021783,120,168
AV2E0077,V2E0077,locked_evaluation,solver_failure,92021784,120,132
AV2E0078,V2E0078,locked_evaluation,drainage_shift,92021785,120,168
AV2E0079,V2E0079,locked_evaluation,normal,92021786,120,168
AV2E0080,V2E0080,locked_evaluation,root_depth_shift,92021787,120,168
AV2E0081,V2E0081,locked_evaluation,sensor_missing,92021788,120,144
AV2E0082,V2E0082,locked_evaluation,feedback_conflict,92021789,120,132
AV2E0083,V2E0083,locked_evaluation,feedback_conflict,92021790,120,132
AV2E0084,V2E0084,locked_evaluation,flow_decay,92021791,120,168
AV2E0085,V2E0085,locked_evaluation,forecast_underprediction,92021792,120,168
AV2E0086,V2E0086,locked_evaluation,valve_stuck,92021793,120,168
AV2E0087,V2E0087,locked_evaluation,sensor_bias,92021794,120,168
AV2E0088,V2E0088,locked_evaluation,normal,92021795,120,168
AV2E0089,V2E0089,locked_evaluation,root_depth_shift,92021796,120,168
AV2E0090,V2E0090,locked_evaluation,sensor_drift,92021797,120,168
AV2E0091,V2E0091,locked_evaluation,solver_failure,92021798,120,132
AV2E0092,V2E0092,locked_evaluation,sensor_spike,92021799,120,123
AV2E0093,V2E0093,locked_evaluation,sensor_drift,92021800,120,168
AV2E0094,V2E0094,locked_evaluation,sensor_missing,92021801,120,144
AV2E0095,V2E0095,locked_evaluation,drainage_shift,92021802,120,168
AV2E0096,V2E0096,locked_evaluation,feedback_conflict,92021803,120,132
AV2E0097,V2E0097,locked_evaluation,sensor_bias,92021804,120,168
AV2E0098,V2E0098,locked_evaluation,root_depth_shift,92021805,120,168
AV2E0099,V2E0099,locked_evaluation,sensor_drift,92021806,120,168
AV2E0100,V2E0100,locked_evaluation,sensor_bias,92021807,120,168
AV2E0101,V2E0101,locked_evaluation,sensor_bias,92021808,120,168
AV2E0102,V2E0102,locked_evaluation,sensor_bias,92021809,120,168
AV2E0103,V2E0103,locked_evaluation,normal,92021810,120,168
AV2E0104,V2E0104,locked_evaluation,normal,92021811,120,168
AV2E0105,V2E0105,locked_evaluation,drainage_shift,92021812,120,168
AV2E0106,V2E0106,locked_evaluation,forecast_underprediction,92021813,120,168
AV2E0107,V2E0107,locked_evaluation,sensor_missing,92021814,120,144
AV2E0108,V2E0108,locked_evaluation,root_depth_shift,92021815,120,168
AV2E0109,V2E0109,locked_evaluation,valve_stuck,92021816,120,168
AV2E0110,V2E0110,locked_evaluation,solver_failure,92021817,120,132
AV2E0111,V2E0111,locked_evaluation,forecast_underprediction,92021818,120,168
AV2E0112,V2E0112,locked_evaluation,solver_failure,92021819,120,132
AV2E0113,V2E0113,locked_evaluation,solver_failure,92021820,120,132
AV2E0114,V2E0114,locked_evaluation,sensor_spike,92021821,120,123
AV2E0115,V2E0115,locked_evaluation,valve_stuck,92021822,120,168
AV2E0116,V2E0116,locked_evaluation,forecast_underprediction,92021823,120,168
AV2E0117,V2E0117,locked_evaluation,flow_decay,92021824,120,168
AV2E0118,V2E0118,locked_evaluation,feedback_conflict,92021825,120,132
AV2E0119,V2E0119,locked_evaluation,sensor_drift,92021826,120,168
AV2E0120,V2E0120,locked_evaluation,forecast_underprediction,92021827,120,168
AV2E0121,V2E0121,locked_evaluation,sensor_drift,92021828,120,168
AV2E0122,V2E0122,locked_evaluation,sensor_missing,92021829,120,144
AV2E0123,V2E0123,locked_evaluation,solver_failure,92021830,120,132
AV2E0124,V2E0124,locked_evaluation,solver_failure,92021831,120,132
AV2E0125,V2E0125,locked_evaluation,normal,92021832,120,168
AV2E0126,V2E0126,locked_evaluation,forecast_underprediction,92021833,120,168
AV2E0127,V2E0127,locked_evaluation,drainage_shift,92021834,120,168
AV2E0128,V2E0128,locked_evaluation,normal,92021835,120,168
AV2E0129,V2E0129,locked_evaluation,sensor_missing,92021836,120,144
AV2E0130,V2E0130,locked_evaluation,feedback_conflict,92021837,120,132
AV2E0131,V2E0131,locked_evaluation,root_depth_shift,92021838,120,168
AV2E0132,V2E0132,locked_evaluation,sensor_drift,92021839,120,168
AV2E0133,V2E0133,locked_evaluation,forecast_underprediction,92021840,120,168
AV2E0134,V2E0134,locked_evaluation,sensor_spike,92021841,120,123
AV2E0135,V2E0135,locked_evaluation,forecast_underprediction,92021842,120,168
AV2E0136,V2E0136,locked_evaluation,flow_decay,92021843,120,168
AV2E0137,V2E0137,locked_evaluation,valve_stuck,92021844,120,168
AV2E0138,V2E0138,locked_evaluation,drainage_shift,92021845,120,168
AV2E0139,V2E0139,locked_evaluation,valve_stuck,92021846,120,168
AV2E0140,V2E0140,locked_evaluation,sensor_spike,92021847,120,123
AV2E0141,V2E0141,locked_evaluation,drainage_shift,92021848,120,168
AV2E0142,V2E0142,locked_evaluation,solver_failure,92021849,120,132
AV2E0143,V2E0143,locked_evaluation,sensor_bias,92021850,120,168
AV2E0144,V2E0144,locked_evaluation,normal,92021851,120,168
