scenario_id,split,horizon_hours,scenario_seed,root_depth_mm,field_capacity,wilting_point,saturation_margin_above_fc,initial_available_water_fraction,irrigation_efficiency,drainage_coefficient,et_stress_fraction_between_wp_fc,et_multiplier,forecast_bias_fraction,forecast_noise_std_fraction,process_noise_std,sensor_noise_std,et_profile,saturation,initial_theta,et_stress_start
V3D0013,development,336,72019013,313.54499941,0.28641050,0.14732391,0.10167190,0.44412917,0.77739617,21.52333506,0.49562730,1.22734662,-0.11214895,0.09346276,0.00023812,0.00092214,variable_cloud,0.38808239,0.20909632,0.21625902
V3D0014,development,336,72019014,269.86859528,0.28445716,0.14445185,0.08797314,0.47438980,0.74709786,19.26486779,0.37885741,1.19143345,0.00721897,0.05092210,0.00016956,0.00055057,hot_spell,0.37243030,0.21086894,0.19749390
V3D0015,development,336,72019015,248.31434225,0.25484120,0.13900839,0.10739175,0.38450248,0.83069266,16.65653173,0.42363592,1.04667499,0.04624931,0.12621368,0.00014175,0.00116250,variable_cloud,0.36223295,0.18354640,0.18807933
V3D0016,development,336,72019016,260.96345996,0.25020825,0.11697860,0.10046726,0.80073956,0.91397358,24.44645145,0.38212321,0.96302582,-0.18439388,0.14628476,0.00009463,0.00083181,typical,0.35067550,0.22366085,0.16788874
V3D0017,development,336,72019017,271.19265067,0.27177301,0.11021103,0.08420436,0.53201165,0.85798831,18.02138278,0.38688765,0.75065177,0.05473207,0.00050026,0.00028560,0.00111695,variable_cloud,0.35597737,0.19616389,0.17271736
V3D0018,development,336,72019018,347.40237927,0.27017350,0.12775574,0.10289706,0.44283564,0.79725392,24.37169488,0.49602000,0.97006207,0.01459113,0.13935682,0.00028049,0.00043690,variable_cloud,0.37307056,0.19082340,0.19839779
V3D0019,development,336,72019019,278.58334077,0.25774133,0.12185434,0.12496075,0.68427042,0.75422928,27.91511188,0.59766285,0.99702623,-0.16454447,0.01835328,0.00025493,0.00098559,hot_spell,0.38270208,0.21483779,0.20306894
V3D0020,development,336,72019020,308.35735756,0.28007874,0.14613104,0.08271112,0.40448686,0.82956752,25.52129799,0.43457508,1.07157226,-0.14907518,0.14695688,0.00022727,0.00079047,typical,0.36278986,0.20031113,0.20434137
V3D0021,development,336,72019021,322.17134668,0.25651925,0.13695750,0.09845846,0.48192094,0.93563330,19.06815484,0.51104368,1.29101532,-0.02698165,0.09873790,0.00026403,0.00063466,hot_spell,0.35497771,0.19457681,0.19805878
V3D0022,development,336,72019022,314.37921482,0.27276364,0.10894932,0.11296315,0.62903829,0.84070525,22.51186774,0.56290612,1.28547208,-0.17236241,0.00861458,0.00013799,0.00058460,variable_cloud,0.38572678,0.21199480,0.20116140
V3D0023,development,336,72019023,332.75272585,0.27097381,0.10656880,0.10618780,0.61767649,0.94591469,15.43669599,0.51394554,1.14460534,-0.05934240,0.07853838,0.00020957,0.00082224,variable_cloud,0.37716161,0.20811791,0.19106402
V3D0024,development,336,72019024,339.36872433,0.28139702,0.10705902,0.08860624,0.84233258,0.87624190,17.54221106,0.58213747,1.11694288,-0.13238146,0.05671069,0.00023153,0.00064940,variable_cloud,0.37000326,0.25390960,0.20854770
V3D0025,development,336,72019025,275.54311059,0.26752332,0.12134268,0.11129941,0.80492250,0.78017724,26.00798517,0.43191883,0.93262405,-0.04422804,0.04558305,0.00010835,0.00117297,variable_cloud,0.37882273,0.23900677,0.18448085
V3D0026,development,336,72019026,294.75225133,0.26233415,0.12921194,0.09224278,0.82473770,0.83698673,13.07137477,0.41973079,1.33020774,-0.00240696,0.07399074,0.00018896,0.00061647,typical,0.35457692,0.23900284,0.18508743
V3D0027,development,336,72019027,256.89561881,0.25596690,0.10771269,0.11809236,0.33082795,0.92420007,13.90405454,0.57619568,1.34182800,-0.06964081,0.01049489,0.00027837,0.00073490,hot_spell,0.37405925,0.15675933,0.19313612
V3D0028,development,336,72019028,297.70752324,0.26981723,0.10512952,0.12731302,0.43115179,0.72330982,27.04700515,0.57932969,0.76463119,-0.15640365,0.08984949,0.00017560,0.00078355,hot_spell,0.39713025,0.17613492,0.20053800
V3D0029,development,336,72019029,309.39501535,0.29457550,0.13418258,0.09776931,0.83382685,0.91528845,20.37807754,0.57146636,0.78378553,0.13181978,0.06020526,0.00023445,0.00074456,hot_spell,0.39234482,0.26792251,0.22584174
V3D0030,development,336,72019030,335.38936685,0.25736980,0.11494897,0.08075500,0.49782904,0.75037185,14.22933290,0.35942103,1.20173536,0.19257966,0.01362947,0.00008444,0.00100988,hot_spell,0.33812481,0.18585020,0.16613801
V3D0031,development,336,72019031,351.62604485,0.28955536,0.13138169,0.11568860,0.82024744,0.73979660,19.50960451,0.46498060,0.88255979,-0.02368386,0.03932223,0.00007187,0.00053145,variable_cloud,0.40524396,0.26112324,0.20492938
V3D0032,development,336,72019032,251.54204152,0.30288343,0.12049158,0.11747272,0.34907234,0.73423509,26.81497360,0.47166226,0.84432535,-0.12852928,0.01634580,0.00009199,0.00099600,typical,0.42035616,0.18415953,0.20651894
V3D0033,development,336,72019033,280.56375111,0.25916450,0.12422180,0.09889377,0.57173784,0.75855792,27.32702499,0.58657235,0.78010554,0.08915647,0.02543387,0.00006582,0.00070507,typical,0.35805827,0.20137365,0.20337546
V3D0034,development,336,72019034,324.36646370,0.29929881,0.13037673,0.09388812,0.59707729,0.81846573,20.04638035,0.57680468,1.00888187,-0.09363203,0.03456762,0.00014461,0.00084627,typical,0.39318693,0.23123627,0.22781178
V3D0035,development,336,72019035,333.76808225,0.29731953,0.11610275,0.12339475,0.32400509,0.87904219,11.01000434,0.48185770,0.93890676,0.13529342,0.10840669,0.00026003,0.00066909,typical,0.42071427,0.17481791,0.20342345
V3D0036,development,336,72019036,326.57388826,0.27619538,0.12857962,0.10816047,0.66347997,0.78650262,12.51868317,0.53980945,1.08777719,-0.01041940,0.13903848,0.00016521,0.00094314,typical,0.38435584,0.22651972,0.20826400
V3D0037,development,336,72019037,315.81826296,0.25511484,0.10276367,0.10950068,0.38603384,0.84262176,26.19468780,0.53141346,0.91751169,-0.12461994,0.02400986,0.00017952,0.00057758,typical,0.36461552,0.16157638,0.18372513
V3D0038,development,336,72019038,328.61667870,0.26614946,0.13586529,0.09517202,0.37366014,0.89291281,18.45950683,0.44526392,0.77411572,0.07333388,0.05235103,0.00021754,0.00119763,hot_spell,0.36132148,0.18454729,0.19387613
V3D0039,development,336,72019039,268.58993948,0.30372142,0.14392292,0.10375226,0.56591216,0.80512447,17.06113083,0.44324282,0.81387548,-0.07738602,0.02272198,0.00019483,0.00042369,hot_spell,0.40747368,0.23435484,0.21475246
V3D0040,development,336,72019040,249.15849488,0.30719321,0.11539321,0.09071132,0.43459824,0.89231873,24.70265330,0.48904140,0.87110683,0.06105825,0.01213196,0.00019677,0.00040133,typical,0.39790453,0.19874915,0.20919135
V3D0041,development,336,72019041,350.69105455,0.29221354,0.11063428,0.12218998,0.48902002,0.74586250,18.21640698,0.59667801,1.02970269,-0.13350104,0.08847619,0.00024041,0.00090881,hot_spell,0.41440352,0.19943018,0.21897863
V3D0042,development,336,72019042,352.80482528,0.28502061,0.10432563,0.12388821,0.30867142,0.87249543,13.68310443,0.37269840,0.97793713,-0.17949868,0.09551395,0.00012972,0.00069018,variable_cloud,0.40890882,0.16010101,0.17167036
V3D0043,development,336,72019043,250.92040591,0.27509652,0.10985781,0.11948371,0.46974325,0.91108964,22.88433185,0.42587512,1.26394389,0.04401385,0.09170405,0.00018792,0.00045539,typical,0.39458023,0.18747758,0.18022887
V3D0044,development,336,72019044,291.51169758,0.30685163,0.14235481,0.11967636,0.64902235,0.78827163,24.82286216,0.43683876,1.19549304,0.17798258,0.06739815,0.00015292,0.00047659,hot_spell,0.42652799,0.24911692,0.21421340
V3D0045,development,336,72019045,354.01268149,0.29953389,0.13207607,0.12887997,0.66029812,0.88184003,14.11208949,0.50862572,1.03469234,0.10266134,0.04076197,0.00009986,0.00089386,typical,0.42841386,0.24264816,0.21724943
V3D0046,development,336,72019046,317.11388357,0.28842609,0.14111578,0.12834267,0.77759436,0.94184254,12.11488242,0.39776135,1.34720182,0.08096817,0.02911898,0.00009797,0.00102069,hot_spell,0.41676876,0.25566345,0.19971013
V3D0047,development,336,72019047,244.45193914,0.29336966,0.12293035,0.09475696,0.76861876,0.79309379,22.14777967,0.59204261,1.26926459,0.19827175,0.04698476,0.00005226,0.00030817,typical,0.38812662,0.25393320,0.22383768
V3D0048,development,336,72019048,310.19743952,0.28367465,0.14522344,0.10471541,0.41243337,0.86928076,11.18595488,0.46020868,1.04346792,-0.05528217,0.04953731,0.00028375,0.00072198,typical,0.38839006,0.20232534,0.20893989
V3D0049,development,336,72019049,246.74662087,0.27745639,0.12255412,0.12940579,0.45672501,0.85553773,26.42846676,0.58878558,0.80270920,-0.06564592,0.14239610,0.00013182,0.00053879,typical,0.40686217,0.19330186,0.21375834
V3D0050,development,336,72019050,343.78985283,0.26496649,0.13823675,0.09432062,0.84701858,0.86233835,23.57377036,0.44002737,0.82556760,-0.19108555,0.01549471,0.00013363,0.00109670,variable_cloud,0.35928711,0.24557919,0.19400131
V3D0051,development,336,72019051,256.06847565,0.30033904,0.11167552,0.12988036,0.56192398,0.94039303,23.27401310,0.40293462,0.90717128,0.02786930,0.06655078,0.00007537,0.00107279,variable_cloud,0.43021940,0.21769008,0.18769459
V3D0052,development,336,72019052,242.83231516,0.27810351,0.11363586,0.11254556,0.52291368,0.84814943,20.83273776,0.51833985,1.12069701,-0.14498530,0.05800219,0.00029724,0.00080513,hot_spell,0.39064906,0.19963824,0.19888599
V3D0053,development,336,72019053,318.13742816,0.25149255,0.14142950,0.11031512,0.70383847,0.82168874,17.20082515,0.46391684,1.20811796,0.16726762,0.00618166,0.00013900,0.00066086,typical,0.36180768,0.21889611,0.19248960
V3D0054,development,336,72019054,356.78620999,0.29665776,0.10150754,0.08959841,0.53764155,0.81557128,11.66461813,0.48767628,0.96156266,-0.08303049,0.12432088,0.00011757,0.00075542,typical,0.38625617,0.20642841,0.19667767
V3D0055,development,336,72019055,273.80749704,0.29756138,0.13121087,0.09669207,0.74803794,0.77389167,12.99317253,0.53322314,1.10762072,0.14844764,0.12814368,0.00020481,0.00109847,hot_spell,0.39425346,0.25564736,0.21991281
V3D0056,development,336,72019056,322.83775976,0.25077922,0.12657781,0.10777419,0.62461696,0.93232683,15.03160494,0.36943485,1.05731156,0.14383554,0.08640854,0.00010615,0.00037736,variable_cloud,0.35855341,0.20415611,0.17246214
V3D0057,development,336,72019057,296.12370996,0.26743309,0.13296767,0.11481325,0.60071106,0.80908093,13.50535740,0.45242711,0.90030857,0.04008016,0.13226091,0.00005274,0.00038488,variable_cloud,0.38224634,0.21374254,0.19380347
V3D0058,development,336,72019058,311.87095738,0.25237907,0.10855201,0.08118572,0.52898929,0.88625077,14.48592554,0.47670322,1.17167862,-0.10065575,0.07044214,0.00010415,0.00104628,hot_spell,0.33356479,0.18463499,0.17711483
V3D0059,development,336,72019059,246.19608208,0.26547807,0.13244830,0.11213742,0.42464432,0.72637150,23.83860010,0.35658516,0.76178413,-0.10762296,0.11019542,0.00016070,0.00044729,variable_cloud,0.37761549,0.18893864,0.17988474
V3D0060,development,336,72019060,328.97630753,0.25971091,0.14853610,0.09763218,0.55556136,0.76324778,16.78178483,0.59264907,1.15555367,0.03353656,0.10166776,0.00018434,0.00049637,variable_cloud,0.35734309,0.21030053,0.21442375
V3D0061,development,336,72019061,331.35690485,0.28713946,0.14279779,0.10217612,0.67515270,0.83804679,13.18918129,0.55674676,1.17903930,-0.17647170,0.06307247,0.00017420,0.00052327,typical,0.38931558,0.24025046,0.22315954
V3D0062,development,336,72019062,292.59294645,0.26884729,0.12754309,0.11406689,0.58815410,0.92746595,18.80363704,0.40532993,1.30130248,-0.05326334,0.13528987,0.00027092,0.00103071,hot_spell,0.38291418,0.21065173,0.18481791
V3D0063,development,336,72019063,242.21128377,0.30105338,0.11300588,0.11791878,0.34261930,0.87347168,25.28959036,0.40201267,1.09948352,0.06844786,0.12085771,0.00005659,0.00114020,hot_spell,0.41897216,0.17743458,0.18860336
V3D0064,development,336,72019064,287.40384909,0.25306172,0.11144094,0.11011596,0.75736216,0.89802538,16.01332537,0.43024946,1.14003870,-0.09991156,0.08162936,0.00008229,0.00098143,variable_cloud,0.36317768,0.21869916,0.17237320
V3D0065,development,336,72019065,336.99124773,0.27651520,0.14745287,0.12602055,0.44929787,0.82489431,12.27568717,0.50483750,1.06656003,0.10946993,0.14915815,0.00025790,0.00050474,variable_cloud,0.40253574,0.20544030,0.21260837
V3D0066,development,336,72019066,305.70209183,0.26674721,0.14212206,0.12072147,0.54503039,0.72058837,10.41001792,0.52928724,1.13015023,-0.16940470,0.03712731,0.00022226,0.00071314,variable_cloud,0.38746869,0.21004656,0.20808456
V3D0067,development,336,72019067,342.31530529,0.29258139,0.10411247,0.11659231,0.77081468,0.92147834,10.19222747,0.36476970,1.22075715,0.02451581,0.13701940,0.00022602,0.00040542,hot_spell,0.40917370,0.24938708,0.17286022
V3D0068,development,336,72019068,343.66369462,0.26117808,0.10095865,0.08390403,0.69835202,0.73664272,25.91603850,0.35455445,0.82444190,0.18493157,0.03761474,0.00029896,0.00076773,variable_cloud,0.34508212,0.21284821,0.15776516
V3D0069,development,336,72019069,290.35374116,0.25352964,0.12564680,0.08918890,0.57622143,0.84977074,17.32217591,0.55311825,0.83348329,-0.15243431,0.11682270,0.00026277,0.00031653,hot_spell,0.34271854,0.19933563,0.19638113
V3D0070,development,336,72019070,287.50008374,0.30463859,0.14001027,0.09131550,0.66695718,0.81196813,27.55975943,0.47799195,0.84226545,-0.00526042,0.11295159,0.00024311,0.00080753,typical,0.39595409,0.24981031,0.21870128
V3D0071,development,336,72019071,338.36323356,0.30969584,0.13749068,0.09303619,0.76201188,0.90770316,22.70190827,0.57113834,1.33590764,-0.04013668,0.01931976,0.00020136,0.00067625,typical,0.40273203,0.26871306,0.23584365
V3D0072,development,336,72019072,284.35106247,0.26132584,0.12898865,0.09564591,0.73630190,0.91861547,24.11636077,0.41193237,0.87803191,-0.08996471,0.11477585,0.00025266,0.00086293,variable_cloud,0.35697175,0.22642877,0.18350262
V3D0073,development,336,72019073,296.60734137,0.28600116,0.14952544,0.09987277,0.41587653,0.79978766,10.12268447,0.38469970,0.93056741,0.15093123,0.11731603,0.00029036,0.00112923,hot_spell,0.38587393,0.20628249,0.20202761
V3D0074,development,336,72019074,267.47171387,0.30760877,0.13444725,0.12439621,0.39862318,0.90651899,19.74085649,0.37857645,1.10055486,0.15620159,0.13013270,0.00016458,0.00035256,hot_spell,0.43200498,0.20347345,0.20000212
V3D0075,development,336,72019075,259.38848603,0.28901857,0.10534779,0.11379062,0.36358733,0.94431101,21.06945884,0.44926639,1.16230611,-0.16177026,0.12705294,0.00011313,0.00093496,hot_spell,0.40280919,0.17212815,0.18786490
V3D0076,development,336,72019076,277.03867721,0.28063975,0.10255162,0.12577531,0.65380315,0.79431308,26.62895320,0.51627010,0.92346551,0.09226770,0.11958755,0.00017102,0.00037406,typical,0.40641506,0.21898620,0.19449320
V3D0077,development,336,72019077,279.37312434,0.27440187,0.14663415,0.08163819,0.30227528,0.90071599,23.98669317,0.49274978,1.26207380,0.09683885,0.06493470,0.00012674,0.00111368,hot_spell,0.35604006,0.18525517,0.20959166
V3D0078,development,336,72019078,349.02189394,0.27391363,0.12374841,0.08759741,0.74209324,0.81786550,16.51344996,0.52391496,0.98151076,0.08503418,0.08371329,0.00019209,0.00088629,hot_spell,0.36151104,0.23518500,0.20242222
V3D0079,development,336,72019079,359.28108569,0.25833302,0.10320636,0.11494358,0.60442827,0.86518702,11.46720485,0.47290458,1.16537042,0.19001666,0.00302464,0.00006489,0.00041403,typical,0.37327659,0.19696930,0.17656647
V3D0080,development,336,72019080,272.72662325,0.30412897,0.10814540,0.08699256,0.71863041,0.76717957,15.68481961,0.44834325,0.86514589,-0.11785209,0.10510954,0.00028899,0.00096518,hot_spell,0.39112153,0.24898516,0.19601331
V3D0081,development,336,72019081,265.22459400,0.26857198,0.13758976,0.10326198,0.35755865,0.93489925,22.22584648,0.42087008,0.78922393,0.16634172,0.04352965,0.00021484,0.00095396,hot_spell,0.37183396,0.18442358,0.19271626
V3D0082,development,336,72019082,299.49476055,0.30614876,0.13595145,0.11866259,0.78493985,0.80754282,17.87367112,0.41615012,1.00345750,-0.03231633,0.09464710,0.00012132,0.00085787,hot_spell,0.42481135,0.26954610,0.20677908
V3D0083,development,336,72019083,254.12283750,0.28202207,0.11439904,0.08009431,0.50497297,0.78330263,25.06325598,0.50142126,1.31807456,-0.01634070,0.14117791,0.00009131,0.00105895,variable_cloud,0.36211637,0.19904414,0.19844879
V3D0084,development,336,72019084,240.85696725,0.30133955,0.11318216,0.12660038,0.35591293,0.79141413,14.56541925,0.55518852,0.94909951,-0.13827754,0.03003044,0.00018140,0.00033753,hot_spell,0.42793993,0.18014981,0.21764498
V3D0085,development,336,72019085,345.75865481,0.28385588,0.12229800,0.08579074,0.63681626,0.91992210,21.34375583,0.56050292,0.98814790,-0.19921134,0.07208911,0.00021208,0.00055410,variable_cloud,0.36964662,0.22518068,0.21285166
V3D0086,development,336,72019086,340.56125215,0.29410858,0.14835028,0.10896499,0.58105991,0.93000770,21.90129237,0.41438687,1.13571693,0.11359382,0.00398662,0.00027491,0.00060059,variable_cloud,0.40307357,0.23304458,0.20875060
V3D0087,development,336,72019087,330.71919789,0.28800596,0.12506529,0.11617291,0.55160144,0.72846595,19.92046786,0.48394518,1.27730216,0.17314743,0.07536753,0.00008040,0.00046179,typical,0.40417887,0.21494360,0.20391964
V3D0088,development,336,72019088,262.81730327,0.29510047,0.13950505,0.10428520,0.71579728,0.84482009,15.46143718,0.53588539,0.89744144,-0.03336306,0.08511768,0.00022101,0.00115188,typical,0.39938567,0.25087983,0.22288636
V3D0089,development,336,72019089,325.90604184,0.29002682,0.12633847,0.08630217,0.63936949,0.83428269,25.63525936,0.56504815,0.80896584,0.12278532,0.02750747,0.00011098,0.00084065,typical,0.37632899,0.23099581,0.21883027
V3D0090,development,336,72019090,302.73412240,0.27900611,0.11201515,0.08253893,0.72578056,0.88412674,15.97204990,0.39021786,1.24872122,0.00003743,0.03162415,0.00020762,0.00036120,typical,0.36154504,0.23321394,0.17717801
V3D0091,development,336,72019091,281.61484083,0.28282624,0.12000040,0.09633333,0.78739525,0.88847558,23.49210423,0.54951282,1.23257921,0.01751364,0.08024348,0.00015659,0.00048137,variable_cloud,0.37915957,0.24820869,0.20947529
V3D0092,development,336,72019092,258.45529652,0.25409100,0.10046511,0.10091050,0.79341985,0.89520691,27.24023986,0.37353014,1.23924015,0.00913359,0.10049888,0.00007007,0.00032008,variable_cloud,0.35500150,0.22235494,0.15784901
V3D0093,development,336,72019093,318.78037027,0.29187194,0.14932723,0.09192226,0.61088968,0.74284227,21.70937200,0.49947244,1.08246099,0.11669041,0.04384064,0.00027150,0.00097081,hot_spell,0.38379421,0.23640633,0.22052439
V3D0094,development,336,72019094,286.00726375,0.30900165,0.10198568,0.12752763,0.33790486,0.77111986,15.19881805,0.51997503,1.02132059,-0.08510157,0.00635304,0.00011841,0.00077307,typical,0.43652928,0.17193738,0.20962881
V3D0095,development,336,72019095,307.49113368,0.29606212,0.11781055,0.10685778,0.70774294,0.75225298,14.80644540,0.35247345,1.01653448,0.06612236,0.12197606,0.00012486,0.00087771,variable_cloud,0.40291990,0.24396684,0.18063950
V3D0096,development,336,72019096,262.28833967,0.27321971,0.12996941,0.12304696,0.69327927,0.94828619,12.76593863,0.39591139,1.29391138,-0.19559606,0.11143338,0.00020051,0.00057151,variable_cloud,0.39626668,0.22928188,0.18668383
V3E0001,locked_evaluation,336,102043001,282.14559618,0.25958749,0.12836448,0.10277133,0.46260090,0.94988364,13.32727621,0.50669683,0.78981949,-0.15607867,0.01412937,0.00023030,0.00103316,hot_spell,0.36235882,0.18906836,0.19485476
V3E0002,locked_evaluation,336,102043002,329.07846868,0.29916401,0.12859961,0.11924020,0.82142564,0.92485934,16.67803981,0.42164684,1.07585580,0.11510830,0.05922278,0.00023203,0.00037556,hot_spell,0.41840421,0.26870558,0.20051755
V3E0003,locked_evaluation,336,102043003,263.23707814,0.30375820,0.13091301,0.08389842,0.33253666,0.85650021,15.21352826,0.51014034,1.22226512,0.14111593,0.05312607,0.00020313,0.00068509,hot_spell,0.38765662,0.18839038,0.21908832
V3E0004,locked_evaluation,336,102043004,359.42608283,0.25270386,0.12769920,0.09941195,0.73773962,0.84641200,11.72643424,0.50595262,0.84215252,-0.12325326,0.00791053,0.00022091,0.00051951,typical,0.35211582,0.21992009,0.19094564
V3E0005,locked_evaluation,336,102043005,293.33736228,0.28598882,0.14648552,0.10801405,0.60765477,0.81694259,11.61599008,0.45803157,1.15468846,-0.08090594,0.06665050,0.00008809,0.00114620,hot_spell,0.39400287,0.23125537,0.21038244
V3E0006,locked_evaluation,336,102043006,297.40549001,0.30542190,0.10170828,0.09615560,0.67835576,0.72862621,18.09307484,0.39380051,1.34307537,-0.09756295,0.03437196,0.00027230,0.00100003,hot_spell,0.40157750,0.23989859,0.18193080
V3E0007,locked_evaluation,336,102043007,304.79910648,0.26006262,0.10515272,0.08585681,0.59673924,0.72187226,13.85693551,0.37312403,0.87952177,-0.05694293,0.10276133,0.00027422,0.00115528,variable_cloud,0.34591943,0.19759353,0.16295332
V3E0008,locked_evaluation,336,102043008,316.80663349,0.25020455,0.13295270,0.12721506,0.71221111,0.94766396,14.54369567,0.40806995,1.10234895,0.05505987,0.08838001,0.00011881,0.00108882,hot_spell,0.37741961,0.21646077,0.18079966
V3E0009,locked_evaluation,336,102043009,295.25864547,0.30288142,0.13172845,0.09208912,0.78458334,0.82546680,17.11691242,0.45536938,1.30980745,0.10551791,0.10442699,0.00015815,0.00036533,hot_spell,0.39497054,0.26601222,0.20966627
V3E0010,locked_evaluation,336,102043010,290.08111851,0.26209835,0.12156492,0.11804360,0.73529528,0.89792222,16.50388224,0.49284257,0.76212419,-0.09167873,0.01843667,0.00012489,0.00059776,variable_cloud,0.38014194,0.22489849,0.19082578
V3E0011,locked_evaluation,336,102043011,285.63573162,0.30717010,0.11545158,0.08225723,0.42873093,0.75764243,12.02369059,0.39066271,1.07163838,-0.11203077,0.03232860,0.00010627,0.00035964,typical,0.38942733,0.19764724,0.19034886
V3E0012,locked_evaluation,336,102043012,251.82672335,0.29603213,0.12432210,0.08463090,0.59349694,0.91110396,26.69218608,0.39845818,1.25123213,0.18567682,0.11343655,0.00029701,0.00042583,typical,0.38066303,0.22623148,0.19274137
V3E0013,locked_evaluation,336,102043013,337.68385099,0.27457409,0.14357213,0.10398497,0.72588815,0.84465429,16.02728383,0.48595881,0.94960120,-0.17774745,0.01072915,0.00026688,0.00061526,variable_cloud,0.37855906,0.23866490,0.20723368
V3E0014,locked_evaluation,336,102043014,344.07125978,0.27511124,0.11954842,0.12447919,0.49376363,0.80626077,12.30584974,0.41974899,1.28310116,0.14416371,0.07240244,0.00027704,0.00072887,typical,0.39959044,0.19635968,0.18484576
V3E0015,locked_evaluation,336,102043015,351.04599730,0.25741209,0.14674746,0.12545287,0.70613696,0.86387514,27.54235933,0.37919903,1.15128671,-0.03138619,0.03212347,0.00028017,0.00034988,variable_cloud,0.38286496,0.22489185,0.18871138
V3E0016,locked_evaluation,336,102043016,338.61724932,0.27687089,0.12507380,0.08534246,0.34461345,0.80960013,16.93365921,0.57521123,1.19855883,-0.18827758,0.07307929,0.00007636,0.00087235,variable_cloud,0.36221335,0.17738512,0.21238919
V3E0017,locked_evaluation,336,102043017,311.15447099,0.29843519,0.11394170,0.11528290,0.57474955,0.80036791,27.80130064,0.56938427,1.12686652,-0.15969395,0.08743465,0.00006261,0.00042030,typical,0.41371809,0.21997925,0.21898939
V3E0018,locked_evaluation,336,102043018,321.63718746,0.25793219,0.13155043,0.12051735,0.80687871,0.80504626,25.57308357,0.58548394,1.28964710,0.06945533,0.11567521,0.00008623,0.00092124,hot_spell,0.37844955,0.23352518,0.20554492
V3E0019,locked_evaluation,336,102043019,335.30321805,0.29671165,0.14260742,0.12645502,0.30299364,0.93806848,26.88941215,0.53573763,0.83202379,0.17509680,0.05509523,0.00021185,0.00080893,hot_spell,0.42316667,0.18930002,0.22516686
V3E0020,locked_evaluation,336,102043020,327.76809484,0.30160725,0.11751216,0.12986523,0.75060619,0.90585846,11.00782894,0.47942798,1.30759351,0.17171971,0.00025955,0.00011968,0.00082957,typical,0.43147247,0.25569507,0.20577250
