anomaly_scenario_id,base_scenario_id,split,anomaly_type,anomaly_seed,start_step,end_step
AE0093,E0093,locked_evaluation,forecast_underprediction,81043800,120,168
AE0094,E0094,locked_evaluation,sensor_drift,81043801,120,168
AE0095,E0095,locked_evaluation,feedback_conflict,81043802,120,132
AE0096,E0096,locked_evaluation,root_depth_shift,81043803,120,168
AE0097,E0097,locked_evaluation,solver_failure,81043804,120,132
AE0098,E0098,locked_evaluation,feedback_conflict,81043805,120,132
AE0099,E0099,locked_evaluation,sensor_spike,81043806,120,123
AE0100,E0100,locked_evaluation,sensor_drift,81043807,120,168
AE0101,E0101,locked_evaluation,solver_failure,81043808,120,132
AE0102,E0102,locked_evaluation,sensor_bias,81043809,120,168
AE0103,E0103,locked_evaluation,normal,81043810,120,168
AE0104,E0104,locked_evaluation,sensor_bias,81043811,120,168
AE0105,E0105,locked_evaluation,valve_stuck,81043812,120,168
AE0106,E0106,locked_evaluation,flow_decay,81043813,120,168
AE0107,E0107,locked_evaluation,sensor_bias,81043814,120,168
AE0108,E0108,locked_evaluation,feedback_conflict,81043815,120,132
AE0109,E0109,locked_evaluation,feedback_conflict,81043816,120,132
AE0110,E0110,locked_evaluation,forecast_underprediction,81043817,120,168
AE0111,E0111,locked_evaluation,solver_failure,81043818,120,132
AE0112,E0112,locked_evaluation,sensor_spike,81043819,120,123
AE0113,E0113,locked_evaluation,sensor_spike,81043820,120,123
AE0114,E0114,locked_evaluation,forecast_underprediction,81043821,120,168
AE0115,E0115,locked_evaluation,forecast_underprediction,81043822,120,168
AE0116,E0116,locked_evaluation,flow_decay,81043823,120,168
AE0117,E0117,locked_evaluation,root_depth_shift,81043824,120,168
AE0118,E0118,locked_evaluation,forecast_underprediction,81043825,120,168
AE0119,E0119,locked_evaluation,forecast_underprediction,81043826,120,168
AE0120,E0120,locked_evaluation,feedback_conflict,81043827,120,132
